"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"172",NA,NA,"185 000 Ft/hó",NA,"Pasaréti út"," II. kerület","64 m² terület","2 szoba","4 m² erkély"
"173",NA,NA,"110 000 Ft/hó",NA,"Lendvay utca"," VI. kerület","44 m² terület","2 szoba",NA
"174",NA,NA,"120 000 Ft/hó",NA,"Hegedűs Gyula utca"," XIII. kerület","31 m² terület","1 szoba",NA
"175","Új építésű",NA,"280 000 Ft/hó",NA,"Edison utca 5"," Budaörs","76 m² terület","2 szoba","15 m² erkély"
"176",NA,NA,"135 000 Ft/hó",NA,"Dolgozó út"," XVIII. kerület","59 m² terület","2 + 1 fél szoba",NA
"177",NA,NA,"254 000 Ft/hó",NA,"Ferenc körút"," IX. kerület","74 m² terület","3 szoba","8 m² erkély"
"178",NA,NA,"135 000 Ft/hó",NA,"Ilka utca"," XIV. kerület","40 m² terület","1 + 1 fél szoba",NA
"179",NA,NA,"200 000 Ft/hó",NA,"Pusztaszeri út"," II. kerület","70 m² terület","3 szoba","4 m² erkély"
"180",NA,NA,"110 000 Ft/hó",NA,"Telepes utca"," XIV. kerület","36 m² terület","1 szoba",NA
"181",NA,NA,"269 000 Ft/hó",NA,"Danubius utca"," XIII. kerület","71 m² terület","3 szoba","14 m² erkély"
"182",NA,NA,"159 000 Ft/hó",NA,"Angyalföldi út"," XIII. kerület","67 m² terület","1 + 2 fél szoba",NA
"183",NA,NA,"120 000 Ft/hó",NA,"Ernő utca"," IX. kerület","30 m² terület","1 szoba","2 m² erkély"
"184",NA,NA,"180 000 Ft/hó",NA,"Budapart"," XI. kerület","56 m² terület","1 szoba",NA
"185",NA,NA,"150 000 Ft/hó",NA,"Tornavár utca"," XI. kerület","61 m² terület","2 + 1 fél szoba","1.1 m² erkély"
"186","Új építésű",NA,"180 000 Ft/hó",NA,"Dinnye utca"," XI. kerület","50 m² terület","2 szoba","3 m² erkély"
"187","Új építésű",NA,"150 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","45 m² terület","2 szoba",NA
"188",NA,NA,"140 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","48 m² terület","2 szoba","9 m² erkély"
"189",NA,NA,"150 000 Ft/hó",NA,"Meredek utca"," XI. kerület","52 m² terület","1 + 1 fél szoba","3 m² erkély"
"190",NA,NA,"135 000 Ft/hó",NA,"Mátyás tér"," VIII. kerület","34 m² terület","1 szoba","14 m² erkély"
"191",NA,NA,"145 000 Ft/hó",NA,"Szentmihályi út"," XIV. kerület","46 m² terület","1 + 1 fél szoba",NA
"192",NA,NA,"120 000 Ft/hó",NA,"Liszt Ferenc utca 33"," Veresegyház","30 m² terület","1 szoba","4 m² erkély"
"193",NA,NA,"135 000 Ft/hó",NA,"Aranyvirág sétány"," IX. kerület","51 m² terület","2 szoba","4 m² erkély"
"194",NA,NA,"200 000 Ft/hó",NA,"Hermina út"," XIV. kerület","71 m² terület","2 szoba","1 m² erkély"
"195",NA,NA,"140 000 Ft/hó",NA,"Hímző utca"," III. kerület","50 m² terület","2 szoba",NA
"196","Videó elérhető",NA,"220 000 Ft/hó",NA,"Őrmezei út 33"," XI. kerület","46 m² terület","2 szoba","7 m² erkély"
"197","Álomotthon",NA,"150 000 Ft/hó",NA,"Lahner György utca"," IV. kerület","44 m² terület","1 + 1 fél szoba","10 m² erkély"
"198","Tulajdonostól!",NA,"690 000 Ft/hó",NA,"Roham utca 3."," I. kerület","140 m² terület","4 szoba","11 m² erkély"
"199",NA,NA,"130 000 Ft/hó",NA,"Dembinszky utca"," VII. kerület","33 m² terület","2 szoba",NA
"200","Tulajdonostól!",NA,"160 000 Ft/hó",NA,"Kossuth Lajos utca"," IV. kerület","60 m² terület","2 + 1 fél szoba",NA
"201","Tulajdonostól!",NA,"135 000 Ft/hó",NA,"Thököly út 42"," VII. kerület","39 m² terület","1 + 1 fél szoba",NA
"202","Panorámás",NA,"280 000 Ft/hó",NA,"Fő utca 19."," I. kerület","80 m² terület","2 + 1 fél szoba","2 m² erkély"
"203",NA,NA,"300 000 Ft/hó",NA,"Madárhegy"," XI. kerület","72 m² terület","3 szoba","39 m² erkély"
"204",NA,NA,"135 000 Ft/hó",NA,"Visegrádi utca 67"," XIII. kerület","40 m² terület","1 szoba",NA
"205",NA,NA,"120 000 Ft/hó",NA,"Rátz László utca"," XI. kerület","33 m² terület","1 + 1 fél szoba",NA
"206",NA,NA,"180 000 Ft/hó",NA,"Ulászló utca"," XI. kerület","56 m² terület","2 szoba","4 m² erkély"
"207",NA,NA,"220 000 Ft/hó",NA,"Liszt Ferenc tér"," VI. kerület","50 m² terület","2 + 1 fél szoba",NA
"208",NA,NA,"155 000 Ft/hó",NA,"Gyarmat utca"," XIV. kerület","50 m² terület","2 szoba","9 m² erkély"
"209",NA,NA,"165 000 Ft/hó",NA,"Fehérvári út"," XI. kerület","59 m² terület","2 + 1 fél szoba","6 m² erkély"
"210",NA,NA,"195 000 Ft/hó",NA,"Népfürdő utca 15e"," XIII. kerület","68 m² terület","1 + 2 fél szoba","3 m² erkély"
"211",NA,NA,"150 000 Ft/hó",NA,"Kaszásdűlő utca 7"," III. kerület","50 m² terület","2 szoba","4 m² erkély"
